CGPA,AptitudeScore,Projects,Internships,CodingScore,Placed
6.2,52,1,0,45,No
6.4,54,1,0,48,No
6.5,55,1,1,50,No
6.6,56,2,0,51,No
6.7,57,1,1,52,No
6.8,58,2,0,55,No
6.9,59,2,1,56,No
7.0,60,1,0,58,No
7.1,61,2,1,59,No
7.2,62,2,0,60,No
7.3,63,2,1,61,No
7.4,64,3,0,63,No
7.5,65,2,1,64,No
7.0,61,1,0,57,No
6.8,57,1,1,54,No
6.9,58,2,0,55,No
7.1,62,2,1,60,No
7.2,63,3,0,61,No
7.3,64,2,1,62,No
7.4,65,3,0,63,No
7.5,66,2,1,65,No
7.6,67,3,0,66,No
7.7,68,2,1,67,No
7.2,64,1,0,60,No
7.3,65,1,1,61,No
7.2,65,2,0,72,Yes
7.3,66,2,1,74,Yes
7.4,67,3,0,76,Yes
7.5,68,3,1,78,Yes
7.6,70,3,0,80,Yes
7.7,72,4,1,82,Yes
7.8,73,4,0,84,Yes
7.9,74,4,1,85,Yes
8.0,75,4,0,86,Yes
8.1,76,4,1,87,Yes
8.2,78,5,0,88,Yes
8.3,79,5,1,89,Yes
8.4,80,5,0,90,Yes
8.5,81,5,1,91,Yes
8.6,83,5,0,92,Yes
8.7,84,5,1,93,Yes
8.8,85,6,0,94,Yes
8.9,87,6,1,95,Yes
9.0,88,6,0,96,Yes
9.1,90,6,1,97,Yes
9.2,91,6,0,98,Yes
9.3,92,6,1,99,Yes
9.4,94,6,0,100,Yes
8.0,76,4,1,84,Yes
8.1,77,4,0,85,Yes
8.2,78,5,1,86,Yes
8.3,80,5,0,88,Yes
8.5,82,5,1,90,Yes
8.7,85,6,0,92,Yes
8.9,88,6,1,95,Yes
9.2,92,6,0,99,Yes
6.5,58,0,0,72,No
6.7,60,1,0,74,No
6.9,61,1,0,76,No
7.0,62,1,0,78,No
7.1,63,1,0,70,No
7.2,65,2,0,68,Yes
7.3,66,2,1,69,Yes
7.4,67,3,0,71,Yes
7.5,68,3,1,72,Yes
